"Date","Open","High","Low","Close","Volume"
"12/11/2024","409.7","424.88","402.38","424.77","104,287,600"
"12/10/2024","392.68","409.73","390.85","400.99","97,563,580"
"12/09/2024","397.61","404.8","378.01","389.79","96,359,170"
"12/06/2024","377.42","389.49","370.8","389.22","81,455,830"
"12/05/2024","359.87","375.43","359.5","369.49","81,403,570"
"12/04/2024","353","358.1","348.6","357.93","50,810,870"
"12/03/2024","351.8","355.69","348.2","351.42","58,267,200"
"12/02/2024","352.38","360","351.1501","357.09","77,986,480"
"11/29/2024","336.08","345.45","334.6501","345.16","37,167,620"
"11/27/2024","341.8","342.55","326.59","332.89","57,896,440"
"11/26/2024","341","346.96","335.66","338.23","62,295,860"
"11/25/2024","360.14","361.93","338.2","338.59","95,890,900"
"11/22/2024","341.085","361.53","337.7","352.56","89,140,720"
"11/21/2024","343.81","347.9899","335.28","339.64","58,011,720"
"11/20/2024","345","346.5999","334.3","342.03","66,340,650"
"11/19/2024","335.76","347.3799","332.75","346","88,852,450"
"11/18/2024","340.73","348.5499","330.01","338.74","126,547,500"
"11/15/2024","310.57","324.6799","309.22","320.72","114,440,300"
"11/14/2024","327.69","329.98","310.37","311.18","120,726,100"
"11/13/2024","335.85","344.5999","322.5","330.24","125,405,600"
"11/12/2024","342.74","345.84","323.31","328.49","155,726,000"
"11/11/2024","346.3","358.64","336","350","210,521,600"
"11/08/2024","299.14","328.71","297.66","321.22","204,782,800"
"11/07/2024","288.89","299.75","285.52","296.91","117,309,200"
"11/06/2024","284.67","289.59","275.62","288.53","165,228,700"
"11/05/2024","247.34","255.2799","246.2101","251.44","69,282,510"
"11/04/2024","244.56","248.9","238.88","242.84","68,802,350"
"11/01/2024","252.043","254","246.63","248.98","57,544,760"
"10/31/2024","257.99","259.75","249.25","249.85","66,575,290"
"10/30/2024","258.035","263.35","255.8201","257.55","53,993,580"
"10/29/2024","264.51","264.98","255.51","259.52","80,521,750"
"10/28/2024","270","273.536","262.24","262.51","107,653,600"
"10/25/2024","256.01","269.49","255.32","269.19","161,611,900"
"10/24/2024","244.68","262.1199","242.65","260.48","204,491,900"
"10/23/2024","217.125","218.72","212.11","213.65","80,938,890"
"10/22/2024","217.31","218.22","215.26","217.97","43,268,740"
"10/21/2024","218.9","220.48","215.726","218.85","47,328,990"
"10/18/2024","220.71","222.28","219.23","220.7","49,611,870"
"10/17/2024","221.59","222.08","217.9","220.89","50,791,780"
"10/16/2024","221.4","222.8199","218.93","221.33","49,632,820"
"10/15/2024","220.01","224.26","217.12","219.57","62,988,790"
"10/14/2024","220.13","221.91","213.74","219.16","86,291,920"
"10/11/2024","220.13","223.34","214.38","217.8","142,628,900"
"10/10/2024","241.81","242.7899","232.34","238.77","83,087,060"
"10/09/2024","243.82","247.43","239.51","241.05","66,289,530"
"10/08/2024","243.56","246.21","240.56","244.5","56,303,160"
"10/07/2024","249","249.83","240.7","240.83","68,113,270"
"10/04/2024","246.69","250.96","244.58","250.08","86,726,290"
"10/03/2024","244.48","249.79","237.81","240.66","80,729,240"
"10/02/2024","247.55","251.1585","241.5","249.02","93,983,930"
"10/01/2024","262.67","263.98","248.53","258.02","87,397,610"
"09/30/2024","259.04","264.86","255.77","261.63","80,873,380"
"09/27/2024","257.375","260.6999","254.12","260.46","70,988,070"
"09/26/2024","260.6","261.75","251.53","254.22","67,142,190"
"09/25/2024","252.54","257.05","252.28","257.02","65,034,320"
"09/24/2024","254.08","257.19","249.0501","254.27","88,491,000"
"09/23/2024","242.61","250","241.92","250","86,927,190"
"09/20/2024","241.52","243.99","235.92","238.25","99,879,070"
"09/19/2024","234","244.24","232.13","243.92","102,694,600"
"09/18/2024","230.09","235.68","226.88","227.2","78,010,200"
"09/17/2024","229.45","234.57","226.5533","227.87","66,761,640"
"09/16/2024","229.3","229.96","223.53","226.78","54,323,000"
"09/13/2024","228","232.67","226.32","230.29","59,515,110"
"09/12/2024","224.66","231.45","223.83","229.81","72,020,040"
"09/11/2024","224.55","228.47","216.8003","228.13","83,548,630"
"09/10/2024","220.07","226.4","218.6377","226.17","78,891,140"
"09/09/2024","216.2","219.87","213.67","216.27","67,443,520"
"09/06/2024","232.6","233.6","210.51","210.73","112,177,000"
"09/05/2024","223.49","235","222.25","230.17","119,355,000"
"09/04/2024","210.59","222.22","210.57","219.41","80,651,770"
"09/03/2024","215.26","219.9043","209.64","210.6","76,714,220"
"08/30/2024","208.63","214.5701","207.03","214.11","63,370,610"
"08/29/2024","209.8","214.89","205.97","206.28","62,308,820"
"08/28/2024","209.72","211.84","202.59","205.75","64,116,350"
"08/27/2024","213.25","215.66","206.94","209.21","62,821,390"
